Number,Time,Temperature
434,2018-01-28 02:46:13,20.8
435,2018-01-28 02:51:13,20.9
436,2018-01-28 02:56:13,20.9
437,2018-01-28 03:01:13,20.9
438,2018-01-28 03:06:13,20.9
439,2018-01-28 03:11:13,20.9
440,2018-01-28 03:16:13,20.9
441,2018-01-28 03:21:13,20.9
442,2018-01-28 03:26:13,20.9
443,2018-01-28 03:31:13,20.9
444,2018-01-28 03:36:13,20.9
445,2018-01-28 03:41:13,20.9
446,2018-01-28 03:46:13,20.9
447,2018-01-28 03:51:13,20.9
448,2018-01-28 03:56:13,20.9
449,2018-01-28 04:01:13,20.8
450,2018-01-28 04:06:13,20.8
451,2018-01-28 04:11:13,20.8
452,2018-01-28 04:16:13,20.8
453,2018-01-28 04:21:13,20.8
454,2018-01-28 04:26:13,20.8
455,2018-01-28 04:31:13,20.8
456,2018-01-28 04:36:13,20.8
457,2018-01-28 04:41:13,20.8
458,2018-01-28 04:46:13,20.8
459,2018-01-28 04:51:13,20.8
460,2018-01-28 04:56:13,20.8
461,2018-01-28 05:01:13,20.8
462,2018-01-28 05:06:13,20.8
463,2018-01-28 05:11:13,20.8
464,2018-01-28 05:16:13,20.8
465,2018-01-28 05:21:13,20.8
466,2018-01-28 05:26:13,20.8
467,2018-01-28 05:31:13,20.8
468,2018-01-28 05:36:13,20.8
469,2018-01-28 05:41:13,20.8
470,2018-01-28 05:46:13,20.8
471,2018-01-28 05:51:13,20.8
472,2018-01-28 05:56:13,20.8
473,2018-01-28 06:01:13,20.8
474,2018-01-28 06:06:13,20.8
475,2018-01-28 06:11:13,20.8
476,2018-01-28 06:16:13,20.7
477,2018-01-28 06:21:13,20.7
478,2018-01-28 06:26:13,20.7
479,2018-01-28 06:31:13,20.7
480,2018-01-28 06:36:13,20.7
481,2018-01-28 06:41:13,20.7
482,2018-01-28 06:46:13,20.7
483,2018-01-28 06:51:13,20.7
484,2018-01-28 06:56:13,20.7
485,2018-01-28 07:01:13,20.7
486,2018-01-28 07:06:13,20.7
487,2018-01-28 07:11:13,20.7
488,2018-01-28 07:16:13,20.7
489,2018-01-28 07:21:13,20.7
490,2018-01-28 07:26:13,20.7
491,2018-01-28 07:31:13,20.7
492,2018-01-28 07:36:13,20.7
493,2018-01-28 07:41:13,20.7
494,2018-01-28 07:46:13,20.7
495,2018-01-28 07:51:13,20.7
496,2018-01-28 07:56:13,20.7
497,2018-01-28 08:01:13,20.7
498,2018-01-28 08:06:13,20.7
499,2018-01-28 08:11:13,20.7
500,2018-01-28 08:16:13,20.7
501,2018-01-28 08:21:13,20.7
502,2018-01-28 08:26:13,20.7
503,2018-01-28 08:31:13,20.7
504,2018-01-28 08:36:13,20.7
505,2018-01-28 08:41:13,20.7
506,2018-01-28 08:46:13,20.7
507,2018-01-28 08:51:13,20.7
508,2018-01-28 08:56:13,20.7
509,2018-01-28 09:01:13,20.6
510,2018-01-28 09:06:13,20.6
511,2018-01-28 09:11:13,20.6
512,2018-01-28 09:16:13,20.7
513,2018-01-28 09:21:13,20.7
514,2018-01-28 09:26:13,20.7
515,2018-01-28 09:31:13,20.7
516,2018-01-28 09:36:13,20.7
517,2018-01-28 09:41:13,20.7
518,2018-01-28 09:46:13,20.8
519,2018-01-28 09:51:13,20.8
520,2018-01-28 09:56:13,20.8
521,2018-01-28 10:01:13,20.9
522,2018-01-28 10:06:13,20.8
523,2018-01-28 10:11:13,20.8
524,2018-01-28 10:16:13,20.9
525,2018-01-28 10:21:13,20.9
526,2018-01-28 10:26:13,20.9
527,2018-01-28 10:31:13,20.9
528,2018-01-28 10:36:13,20.8
529,2018-01-28 10:41:13,20.8
530,2018-01-28 10:46:13,20.8
531,2018-01-28 10:51:13,20.8
532,2018-01-28 10:56:13,20.8
533,2018-01-28 11:01:13,20.8
534,2018-01-28 11:06:13,20.8
535,2018-01-28 11:11:13,20.7
536,2018-01-28 11:16:13,20.7
537,2018-01-28 11:21:13,20.7
538,2018-01-28 11:26:13,20.7
539,2018-01-28 11:31:13,20.7
540,2018-01-28 11:36:13,20.7
541,2018-01-28 11:41:13,20.7
542,2018-01-28 11:46:13,20.7
543,2018-01-28 11:51:13,20.7
544,2018-01-28 11:56:13,20.7
545,2018-01-28 12:01:13,20.7
546,2018-01-28 12:06:13,20.7
547,2018-01-28 12:11:13,20.7
548,2018-01-28 12:16:13,20.7
549,2018-01-28 12:21:13,20.7
550,2018-01-28 12:26:13,20.6
551,2018-01-28 12:31:13,20.6
552,2018-01-28 12:36:13,20.6
553,2018-01-28 12:41:13,20.6
554,2018-01-28 12:46:13,20.6
555,2018-01-28 12:51:13,20.6
556,2018-01-28 12:56:13,20.6
557,2018-01-28 13:01:13,20.6
558,2018-01-28 13:06:13,20.6
559,2018-01-28 13:11:13,20.6
560,2018-01-28 13:16:13,20.6
561,2018-01-28 13:21:13,20.6
562,2018-01-28 13:26:13,20.6
563,2018-01-28 13:31:13,20.6
564,2018-01-28 13:36:13,20.6
565,2018-01-28 13:41:13,20.6
566,2018-01-28 13:46:13,20.6
567,2018-01-28 13:51:13,20.6
568,2018-01-28 13:56:13,20.6
569,2018-01-28 14:01:13,20.6
570,2018-01-28 14:06:13,20.6
571,2018-01-28 14:11:13,20.6
572,2018-01-28 14:16:13,20.6
573,2018-01-28 14:21:13,20.6
574,2018-01-28 14:26:13,20.6
575,2018-01-28 14:31:13,20.6
576,2018-01-28 14:36:13,20.6
577,2018-01-28 14:41:13,20.6
578,2018-01-28 14:46:13,20.6
579,2018-01-28 14:51:13,20.6
580,2018-01-28 14:56:13,20.6
581,2018-01-28 15:01:13,20.6
582,2018-01-28 15:06:13,20.6
583,2018-01-28 15:11:13,20.6
584,2018-01-28 15:16:13,20.6
585,2018-01-28 15:21:13,20.6
586,2018-01-28 15:26:13,20.6
587,2018-01-28 15:31:13,20.6
588,2018-01-28 15:36:13,20.6
589,2018-01-28 15:41:13,20.6
590,2018-01-28 15:46:13,20.6
591,2018-01-28 15:51:13,20.6
592,2018-01-28 15:56:13,20.6
593,2018-01-28 16:01:13,20.6
594,2018-01-28 16:06:13,20.6
595,2018-01-28 16:11:13,20.6
596,2018-01-28 16:16:13,20.6
597,2018-01-28 16:21:13,20.6
598,2018-01-28 16:26:13,20.6
599,2018-01-28 16:31:13,20.6
600,2018-01-28 16:36:13,20.6
601,2018-01-28 16:41:13,20.6
602,2018-01-28 16:46:13,20.6
603,2018-01-28 16:51:13,20.5
604,2018-01-28 16:56:13,20.6
605,2018-01-28 17:01:13,20.5
606,2018-01-28 17:06:13,20.5
607,2018-01-28 17:11:13,20.5
608,2018-01-28 17:16:13,20.6
609,2018-01-28 17:21:13,20.5
610,2018-01-28 17:26:13,20.5
611,2018-01-28 17:31:13,20.5
612,2018-01-28 17:36:13,20.5
613,2018-01-28 17:41:13,20.5
614,2018-01-28 17:46:13,20.5
615,2018-01-28 17:51:13,20.5
616,2018-01-28 17:56:13,20.5
617,2018-01-28 18:01:13,20.5
618,2018-01-28 18:06:13,20.5
619,2018-01-28 18:11:13,20.5
620,2018-01-28 18:16:13,20.5
621,2018-01-28 18:21:13,20.5
622,2018-01-28 18:26:13,20.5
623,2018-01-28 18:31:13,20.5
624,2018-01-28 18:36:13,20.6
625,2018-01-28 18:41:13,20.6
626,2018-01-28 18:46:13,20.6
627,2018-01-28 18:51:13,20.6
628,2018-01-28 18:56:13,20.6
629,2018-01-28 19:01:13,20.6
630,2018-01-28 19:06:13,20.6
631,2018-01-28 19:11:13,20.6
632,2018-01-28 19:16:13,20.6
633,2018-01-28 19:21:13,20.6
634,2018-01-28 19:26:13,20.6
635,2018-01-28 19:31:13,20.6
636,2018-01-28 19:36:13,20.6
637,2018-01-28 19:41:13,20.6
638,2018-01-28 19:46:13,20.6
639,2018-01-28 19:51:13,20.6
640,2018-01-28 19:56:13,20.6
641,2018-01-28 20:01:13,20.6
642,2018-01-28 20:06:13,20.6
643,2018-01-28 20:11:13,20.6
644,2018-01-28 20:16:13,20.6
645,2018-01-28 20:21:13,20.6
646,2018-01-28 20:26:13,20.6
647,2018-01-28 20:31:13,20.6
648,2018-01-28 20:36:13,20.6
649,2018-01-28 20:41:13,20.6
650,2018-01-28 20:46:13,20.6
651,2018-01-28 20:51:13,20.6
652,2018-01-28 20:56:13,20.6
653,2018-01-28 21:01:13,20.6
654,2018-01-28 21:06:13,20.6
655,2018-01-28 21:11:13,20.6
656,2018-01-28 21:16:13,20.6
657,2018-01-28 21:21:13,20.6
658,2018-01-28 21:26:13,20.6
659,2018-01-28 21:31:13,20.6
660,2018-01-28 21:36:13,20.6
661,2018-01-28 21:41:13,20.6
662,2018-01-28 21:46:13,20.6
663,2018-01-28 21:51:13,20.6
664,2018-01-28 21:56:13,20.6
665,2018-01-28 22:01:13,20.6
666,2018-01-28 22:06:13,20.6
667,2018-01-28 22:11:13,20.6
668,2018-01-28 22:16:13,20.5
669,2018-01-28 22:21:13,20.6
670,2018-01-28 22:26:13,20.5
671,2018-01-28 22:31:13,20.5
672,2018-01-28 22:36:13,20.5
673,2018-01-28 22:41:13,20.5
674,2018-01-28 22:46:13,20.6
675,2018-01-28 22:51:13,20.5
676,2018-01-28 22:56:13,20.5
677,2018-01-28 23:01:13,20.5
678,2018-01-28 23:06:13,20.5
679,2018-01-28 23:11:13,20.5
680,2018-01-28 23:16:13,20.5
681,2018-01-28 23:21:13,20.5
682,2018-01-28 23:26:13,20.5
683,2018-01-28 23:31:13,20.5
684,2018-01-28 23:36:13,20.5
685,2018-01-28 23:41:13,20.5
686,2018-01-28 23:46:13,20.5
687,2018-01-28 23:51:13,20.5
688,2018-01-28 23:56:13,20.5
689,2018-01-29 00:01:13,20.5
690,2018-01-29 00:06:13,20.5
691,2018-01-29 00:11:13,20.5
692,2018-01-29 00:16:13,20.5
693,2018-01-29 00:21:13,20.5
694,2018-01-29 00:26:13,20.5
695,2018-01-29 00:31:13,20.5
696,2018-01-29 00:36:13,20.5
697,2018-01-29 00:41:13,20.5
698,2018-01-29 00:46:13,20.5
699,2018-01-29 00:51:13,20.5
700,2018-01-29 00:56:13,20.5
701,2018-01-29 01:01:13,20.5
702,2018-01-29 01:06:13,20.5
703,2018-01-29 01:11:13,20.5
704,2018-01-29 01:16:13,20.5
705,2018-01-29 01:21:13,20.5
706,2018-01-29 01:26:13,20.5
707,2018-01-29 01:31:13,20.5
708,2018-01-29 01:36:13,20.5
709,2018-01-29 01:41:13,20.5
710,2018-01-29 01:46:13,20.5
711,2018-01-29 01:51:13,20.6
712,2018-01-29 01:56:13,20.6
713,2018-01-29 02:01:13,20.6
714,2018-01-29 02:06:13,20.6
715,2018-01-29 02:11:13,20.6
716,2018-01-29 02:16:13,20.6
717,2018-01-29 02:21:13,20.6
718,2018-01-29 02:26:13,20.6
719,2018-01-29 02:31:13,20.6
720,2018-01-29 02:36:13,20.6
721,2018-01-29 02:41:13,20.6
722,2018-01-29 02:46:13,20.6
723,2018-01-29 02:51:13,20.6
724,2018-01-29 02:56:13,20.6
725,2018-01-29 03:01:13,20.5
726,2018-01-29 03:06:13,20.5
727,2018-01-29 03:11:13,20.5
728,2018-01-29 03:16:13,20.5
729,2018-01-29 03:21:13,20.5
730,2018-01-29 03:26:13,20.5
731,2018-01-29 03:31:13,20.5
732,2018-01-29 03:36:13,20.5
733,2018-01-29 03:41:13,20.5
734,2018-01-29 03:46:13,20.5
735,2018-01-29 03:51:13,20.5
736,2018-01-29 03:56:13,20.5
737,2018-01-29 04:01:13,20.5
738,2018-01-29 04:06:13,20.5
739,2018-01-29 04:11:13,20.5
740,2018-01-29 04:16:13,20.5
